ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
103;DocBase;DOSSIERS;01. Instructies;- Komt er ook toch nog iets op papier te staan?;- Komt er ook toch nog iets op papier te staan?;;FAQ;De tekst die in de filmpjes wort uitgesproken is beschikbaar in DocBase – instructies. Daar vindt u ook overige DocBase gerelateerde documentatie. Exact Online gerelateerde documentatie vindt u op www.rkk-online.nl – sectie documenten.
104;DocBase;DOSSIERS;02. Helpdesk overzicht tickets Parochies;Aanmaken ticket in DocBase;Aanmaken ticket in DocBase;;FAQ;Voor het stellen van vragen en melden van problemen, kan in DocBase een ticket worden aangemaakt. 1. Open onder Documenten: 02. Helpdesk Tickets (1). 2. Klik op “nieuw” (2) 3. Waar mogelijk, maak scherm kopieën van de schermen waarin u het probleem constateert. Voeg deze scherm kopieën en eventuele extra informatie die zinvol is om het probleem ui te leggen in een document en voeg dat aan het ticket toe: a. Klik op het gele “folder” teken (4) b. Selecteer het betreffende bestand en klik op OK 4. Wordt er geen bijlage toegevoegd, zorg er dan voor dat in het veld ”Documentformaat” staat “Geen bijlage” (3) 5. Geef bij “Omschrijving melding” en korte omschrijving van het probleem of de vraag.
105;DocBase;DOSSIERS;5;5;5;;FAQ;"6. In het veld “toelichting melding” dient de uitgebreide beschrijving van het probleem/vraag ingevuld te worden. Vermeld zoveel als mogelijk relevante informatie; geef een lidnummer op (Rel-ID van de ledenkaart) om een voorbeeld te geven van een lid waar de fout is geconstateerd. Indien u niet de gehele werkdag aanwezig bent, neem dat dan op in het veld “toelichting”. De helpdesk medewerker kan daar dan rekening mee houden als hij/zij telefonisch contact op wil nemen, 7. Selecteer de juiste categorie. 8. Zorg ervoor dat het veld “parochienummer” het juiste Kaski nummer bevat. Als u na het invullen van het Kaski nummer de “Tabtoets” indrukt wordt automatisch de naam van de parochie ingevuld. 9. Vul naam, telefoonnummer en email adres in 10. Selecteer de juiste gegevens in het veld “Soort Melding”. 11. In het geval u meerdere tickets zou willen aanmaken, kunt u boven in het scherm een vinkje plaatsen in het veld “Gegevens vasthouden” (5). 12. Klik op OK."
106;DocBase;DOSSIERS;5;Melding “U heeft geen bestand geselecteerd” bij het invoeren van een ticket;Melding “U heeft geen bestand geselecteerd” bij het invoeren van een ticket;;FAQ;Zorg ervoor dat in het veld “Document formaat” geselecteerd wordt “Geen bijlage” (staat ergens midden in de lijst van selecties).
107;DocBase;DOSSIERS;5;Hoe krijg ik een melding als er een antwoord op een ticket is?;Hoe krijg ik een melding als er een antwoord op een ticket is?;;FAQ;- Open 02. Helpdesk ticket in de sectie Documenten - Klik rechts in het scherm op “Overige functies” en selecteer “opslaan zoekopdracht” - Geef bij de omschrijving een duidelijk naam op. - Indien u per email van wijzigingen op de hoogte gehouden wilt worden, kunt u 1 of meer vinkjes zetten in de vakjes waarbij de omschrijving begint met “houd mij op de hoogte”. U krijgt dan de dag nadat het ticket is gewijzigd per email een bericht. - Indien u dat niet wenst, zorgt u ervoor dat er geen vinkjes staan. Voor deze zoekfunctie is het aan te raden per mail op de hoogte gehouden te worden zodat u geïnformeerd wordt zodra er een aanpassing in het ticket is gedaan.
108;DocBase;DOSSIERS;5;Heropenen van een afgehandeld ticket;Heropenen van een afgehandeld ticket;;FAQ;"Indien het antwoord op een ticket uw probleem niet oplost. Kunt u een ticket als volgt heropenen: 1. Open in DocBase 02. Helpdesk overzicht tickets Parochies 2. Klik op de blauwe link 3. Open het tabblad “Wacht op info” 4. Selecteer het betreffende ticket; het vierkantje links van het ticketnummer aanklikken/aanvinken 5. Klik op “Retour behandelaar”"
109;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;Verwerken SILA-mutaties;Verwerken SILA-mutaties;;FAQ;"• SILA-gegevens worden in DocBase automatisch verwerkt zodra deze binnenkomen. Dat wil zeggen dat de “nieuwe informatie” in DocBase wordt geplaatst. Bijvoorbeeld bij een verhuizing wordt het nieuwe adres meteen in DocBase geplaatst. Dit vraagt dus geen actie van de ledenadministrateur. • Overblijvende acties ledenadministrateur zijn o.a.: • Bepaal wat te doen met abonnementen en vrijwilligerstaken • Check en pas aan de samenstelling gezinssituatie • “Welkomstpakket” sturen? • Verhuizing binnen de eigen parochie; afhankelijk van het beleid van de parochie met betrekking tot inrichting locatie verantwoordelijkheden • Eventueel voorkeurlocatie aangeven"
110;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;Type mutaties en uit te voeren acties;Type mutaties en uit te voeren acties;;FAQ;"Type Mutatie Mogelijke vervolgacties 10 Response op een aanmelding Dit is een terugmelding Let op of er een Foutmelding SILA ontstaat, zoals; 21 Aanmelding: geslachtsnaam is leeg 22 Aanmelding: ongeldige geboortedatum 23 Aanmelding: postcode bestaat niet 25 Aanmelding: persoon niet gevonden in GBA 27 Aanmelding: persoon heeft geheim adres 32 Aanmelding: bijhouden PL opgeschort wegens overlijden Aanmelding niet mogelijk - Overleden of geboortedatum niet ingevuld 42 Aanmelding: geblokkeerd wegens bezwaar 11 Response op een afmelding Indien de afmelding is gedaan n.a.v. een verzoek tot uitschrijving, moet het lid uit DocBase worden verwijderd. Volg de PROCEDURE VERWIJDEREN KERKVERLATER OF ADMINISTRATIEVE UITSCHRIJVING v1.2 12 Notificatie van een afmelding door SILA Indien de afmelding is gedaan n.a.v. een verzoek tot uitschrijving, moet het lid uit DocBase worden verwijderd. Volg de PROCEDURE VERWIJDEREN KERKVERLATER OF ADMINISTRATIEVE UITSCHRIJVING v1.2 Type Mutatie Mogelijke vervolgacties 20 verwerkte aanmelding van een voorkeurs lid De parochie kan bepalen of deze mutaties verder behandeld moeten worden indien een andere parochie een voorkeurs lid aan- of afmeldt 21 verwerkte afmelding van een voorkeurs lid 30 melding n.a.v. een Kaski mutatie Parochie grenzen zijn aangepast; check of het betreffende lid voorkeurparochiaan moet worden 40 melding n.a.v. het opheffen van een parochie Parochie grenzen zijn aangepast; check of het betreffende lid voorkeurparochiaan moet worden 50 Adreswijziging GBA (Binnen parochiegrenzen) Centrale administratie: geen Hybride/decentrale administraties: zie hierna; controle/acties 1 50 Adreswijziging GBA (Nieuwkomer) Zie hierna; controle/acties 1 50 Adreswijziging GBA (Vertrokken) Zie hierna; controle/acties 1 51 Naamswijziging GBA Geen Indien naamwijziging n.a.v. huwelijk, is er een mutatie “53 Wijziging burgerlijke staat” aan gekoppeld 52 Bericht van overlijden Zie hierna; controles/acties 2 53 Wijziging burgerlijke staat Zie hierna; controles/acties 3 54 Geheim adres (afmelding) Over dit onderwerp zijn richtlijnen opgesteld die per brief vanuit uw bisdom naar de parochiebesturen zijn verzonden. Wij verwijzen u hier graag naar. 55 RNI (afmelding) Betreft vertrek naar buitenland. Hier is soms ook een mutatie “50 Adreswijziging GBA (Vertrokken)” aan gekoppeld. U kunt dit lid eventueel verwijderen. 59 gecombineerde mutatie (bijv. adreswijziging + burgerlijke staat) Zie hierna; controles/acties 1 + 3 80 Foutherstel Geen 99 Adreswijziging GBA a.g.v. infrastructurele wijziging Geen Controles/acties 1; n.a.v. adreswijzigingen (SILA-mutatie code 50) 1. Kijk bij nieuwkomers of de gezinsrelatie moet worden aangepast: Klik op de tab medebewoners en bekijk of de juiste persoon hoofd is; zo niet, dan kan dit op de ledenkaart worden aangepast (veld “hoofdbewoner op dit adres?” ja of nee en het veld “Gezinsrelatie\woonrelatie” echtgenoot, inwonend, kind, partner, anders; voor hoofbewoner leeglaten) 2. Kijk bij vertrokkenen of de abonnementen en vrijwilligerstaken moeten worden aangepast. Als het lid vrijwilliger in de parochie blijft, of blijft betalen, het lid als voorkeurlid aanmelden. Controles / acties 2; n.a.v. overlijden (SILA-mutatie 52) 1. Kijk bij overledenen of er abonnementen zijn die gestopt moeten worden klik op “overige functie” en dan op “abonnementen” Als er een parochieblad abonnement staat, beëindig deze dan; is er een nabestaande op het zelfde adres, maak een nieuw abonnement voor de nabestaande aan Heeft de overledene een kerkbijdrage abonnement, beëindig dit abonnement; is er een nabestaande naar wie het abonnement moet worden overgezet, zorg ervoor dat het juiste bankrekeningnummer op de ledenkaart van de nabestaande staat en maak een nieuwe debiteur en een nieuw abonnement aan. Beëindigen abonnement: a. Vul in het veld “Beëindigingsdatum abonnement” de datum van beëindiging in. b. Verander het veld “Status abonnement” in beëindigd. 2. Heeft de overledenen vrijwilligers taken, beëindig de taken: a. Vul in het veld “Functie beëindigd op” de datum van beëindiging in. 3. Kijk op de ledenkaart of de overledene Hoofdbewoner is. Zet dit op N.v.t. en wijs een eventuele medebewoner aan als Hoofdbewoner. 4. Verwijder in ExactOnline de toewijzingsregel behorend bij de debiteur van de overledene. Controle / acties 3; n.a.v. wijziging burgerlijke staat (SILA-mutatiecode 53) 1. Voeg de partner toe: a. Vul in he veld “Echtgeno(o)t(e) Docbase-ID” het lidnummer van de partner in (Rel-ID van de ledenkaart). Indien niet bekend kan door het klikken op het vergrootglas naar de partner gezocht worden. 2. Zorg voor juiste toekenning van hoofdbewoner en gezinsrelatie: a. “Hoofdbewoner op dit adres?” ja of nee b. “Gezinsrelatie\woonrelatie” echtgenoot, inwonend, kind, partner, anders; in geval van hoofbewoner, dit veld leeglaten"
111;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;Aanmaken zoekopdracht voor SILA-mutaties die verder geen actie nodig hebben;Aanmaken zoekopdracht voor SILA-mutaties die verder geen actie nodig hebben;;FAQ;"Er zijn een aantal SILA-mutaties waarvoor de ledenadministrateur geen verdere actie hoeft te nemen; deze kunnen meteen op “Sila Mutaties verwerkt” worden gezet. Stel een zoekopdracht samen en sla deze op; dit is een éénmalige actie waardoor u later de zoekopdracht eenvoudig uit kunt voeren. 1. Login met P-account 2. Open 97. SILA Mutaties rapportage 3. Klik op “Zoek en vind” en vul het formulier op basis van de tabel in paragraaf “Type mutaties en uit te voeren acties” in; of mutaties inderdaad zoals voorgesteld geen actie vereisen, is door de parochie zelf te bepalen. Voor hybride en decentrale administraties: LET OP: voor centrale administratie kan de volgende regel nog worden toegevoegd: 4. Klik op “Vind nu!” 5. Klik recht boven in het scherm op “Overige” – “Opslaan zoekopdracht” 6. Vul het volgende scherm in en klik op OK; geef een duidelijke omschrijving waaruit goed is op te maken welke selectie er is toegepast. Let op dat de vinkjes bij “houd mij op de hoogte” worden verwijderd (anders wordt er bij iedere nieuwe SILA-mutatie een mail gestuurd). 7. U vindt de zoekopdracht nu terug om “Mijn werkplek” linksboven in het scherm."
112;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;“Verwerkstatus” van mutaties die geen actie vereisen op “verwerkt” zetten;“Verwerkstatus” van mutaties die geen actie vereisen op “verwerkt” zetten;;FAQ;"1. Login met P-account 2. Open “Mijn werkplek” (1) 3. Klik op het plusteken (2) 4. Klik op de link van de zoekopdracht die hierboven is aangemaakt; bijvoorbeeld: “SILA- mutaties die geen actie nodig hebben; mutatie type: 20 - 21 - 51 - 80 - 99” 5. Klik in het vakje links naast “Rel-ID” (4) 6. Klik op “w 7. Wijzig status” (5) 8. Vul het volgende scherm als volgt in en klik op OK"
113;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;Verwerken SILA mutaties;Verwerken SILA mutaties;;FAQ;"1. Het is belangrijk met de juiste code in te loggen: Login met P-account voor centrale administratie Log in met L-account voor locatie administratie als onderdeel van en hybride of decentrale administratie. 2. Zet eerst de mutaties die geen verdere aandacht nodig hebben op “verwerkt”; zie paragraaf 0 “Verwerkstatus” van mutaties die geen actie vereisen op “verwerkt” zetten. 3. Open de lijst “03. Overzicht SILA Rapportage” (1) 4. Klik op de link “Klik hier om het overzicht SILA-rapportage te openen” (2) 5. Het beste is de mutaties nu op “Relatie ID ledenadmin” te sorteren zodat het opvalt als er meerdere mutaties voor 1 persoon aanwezig zijn. (8) 6. Klik op de link (blauw onderstreept) onder “Relatie ID ledenadmin” (9) De SILA-informatie wordt nu getoond. In de lijst zijn de oude ende nieuwe gegevens aangegeven. 7. Klik op de link “Relatie ID ledenadmin” De ledenkaart wordt nu geopend 8. Klik op “overige tabs” (11) en op “Mutatie historie” (12) Nu worden al wijzigingen getoond; de kolom “Datum” geeft de datum van wijziging aan. Staat er onder “Gebruikersnaam” “docbase” en onder “Applicatie” “DocBase API” , dan is het een mutatie die via SILA komt. Anders staat er een inlogcode van een gebruiker en weet je wie de aanpassing heeft gedaan. Het is nu zichtbaar wat de SILA-mutaties zijn geweest. 9. Neem op basis van de gegevens van de SILA-mutatie de nodige acties (zie hoofdstuk “Type mutaties en uit te voeren acties”) 10. Nadat de benodigde acties zijn ondernomen, klik boven in het scherm (in de groene tekst) op “Klik hier om het overzicht SILA-rapportage te openen (1. Nieuwe Sila mutaties)” 11. U krijgt dan de lijst met SILA-mutaties weer te zien. 12. Nadat alle mutaties zijn behandeld, kunnen de mutaties op “verwerkt” worden gezet (u kunt dat ook na iedere mutatie per regel doen, selecteer dan alleen de regel van de mutatie die is verwerkt). a. Klik in het vierkante vakje dat links naast “Rel-ID” staat. Er verschijnt een vinkje in alle vierkantjes die er onder staan. b. Klik op “wijzig status” c. Selecteer “3. Sila Mutatie verwerkt” d. Klik op “OK” Als er veel mutaties zijn kan het zijn dat er een 2 e blad komt met te verwerken mutaties waarvoor dezelfde acties kunnen worden uitgevoerd."
114;DocBase;DOSSIERS;04. Status voorkeursparochie;In de volgende gevallen spreken we van een voorkeurparochiaan:;In de volgende gevallen spreken we van een voorkeurparochiaan:;;FAQ;- Woont binnen de geografische grenzen van een andere parochie maar heeft aangegeven betrokken te zijn bij uw parochie of locatie. - Woont binnen de geografische grenzen van een andere parochie maar is vrijwilliger in uw parochie of locatie. Woont binnen de geografische grenzen van een andere parochie maar betaalt kerkbijdrage in uw parochie of locatie.
115;DocBase;DOSSIERS;04. Status voorkeursparochie;Wanneer wordt GEEN voorkeurlid toegevoegd:;Wanneer wordt GEEN voorkeurlid toegevoegd:;;FAQ;"- Een rechthebbende: indien u de rechthebbende niet als lid in DocBase kunt vinden, voert u handmatig de NAW-gegevens op de grafkaart in - Een overledene: indien u de overledene niet als lid in DocBase kunt vinden, voert u handmatig de NAW-gegevens op de begravingenkaart in. - Iemand die niet in uw geografisch parochie/locatie woont ontvangt een sacrament in één van uw kerken maar geeft aan geen voorkeurparochiaan bij u parochie te willen zijn: u geeft de gegevens aan de geografische parochie door; zij dienen de gegevens in DocBase in te voeren. - Iemand die niet in uw geografisch parochie/locatie woont wordt vanuit één van uw kerken begraven: u geeft de gegevens aan de geografische parochie door; zij dienen de gegevens in DocBase in te voeren."
116;DocBase;DOSSIERS;04. Status voorkeursparochie;Uitzonderingen:;Uitzonderingen:;;FAQ;Het komt voor dat iemand wel vrijwilligerswerk bij u in de parochie doet, maar nadrukkelijk aangeeft verder bij de geografische parochie (of andere voorkeur parochie) verbonden te willen blijven. In dat geval kan de persoon een vrijwilligerstaak toegekend krijgen zonder deze eerst voorkeurparochiaan te maken. Ga als volgt te werk: 1. Open onder 06. Vrijwilligers: 2. Klik op “Nieuw +”: 3. Klik op het vergrootglas naast Lid Docbase-ID: 4. 5. U kunt nu zoeken naar een lid in de gehele landelijke database. Vul zoveel als mogelijk informatie in zodat er slechts 1 lid in de gehele database wordt gevonden. (Is de informatie zodanig dat er meerdere personen in DocBase worden gevonden, zal er niets worden getoond.) 6. Klik op “Vind nu!” 7. Heeft u voldoende informatie ingevuld om bij 1 persoon uit te komen, zal deze getoond worden. Klik in het vierkantje naast het nummer van het betreffende lis (er wordt dan een vinkje in het vakje geplaatst) en klik op OK: 8. Vul de overige gegevens in het formulier in en klik op OK Bovenstaande geldt ook voor Kerkelijke data en debiteuren. Voor kerkbijdrage abonnementen maakt u eerste een debiteur aan (zie hierboven) en voert u vervolgens onderstaande stappen uit: 1. Nadat u de debiteur heeft aangemaakt, opent u de tab Abonnementen: Had u de debiteurenkaart inmiddels gesloten, open deze dan opnieuw, waarna u het tabblad Abonnementen kunt openen. . 2. Klik op “Nieuw +“ 3. Vul het formulier in en klik op OK.
117;DocBase;DOSSIERS;04. Status voorkeursparochie;Aanmelden voorkeursparochiaan;Aanmelden voorkeursparochiaan;;FAQ;1. Klik op 04. Status voorkeur parochiaan (1) 2. Klik op de blauwe link 3. Klik op Nieuw + (2) 4. Klik op het vergrootglas naast “Ledenadministratie ID” (3) 5. Vul de beschikbare gegevens in betreffende velden in en klik op “Vind nu !”. (Vul alleen gegevens in waarvan u zeker bent). DocBase zal alleen een resultaat van een gevonden lid tonen als er op basis va de ingevulde gegevens slechts 1 persoon is gevonden. 6. Selecteer de gevonden persoon (4) en klik op OK (5). 7. Klik op het vergrootglas naast “Gewenste voorkeurpar.nr.” (6) en klik “Vind nu !” 8. Klik op OK 9. In geval van hybride of decentrale administratie: Open de ledenkaart met een P-account en vul het voorkeurlocatienummer is.
118;DocBase;DOSSIERS;04. Status voorkeursparochie;Afmelden voorkeursparochiaan;Afmelden voorkeursparochiaan;;FAQ;Om de voorkeursgegevens van een lid te verwijderen, opent u de betreffende ledenkaart. Klik op knop ‘Wijzigen’ en verwijder de gegevens in onderstaande velden: Klik vervolgens op knop ‘OK’ om te bevestigen. Opmerking: Na bovenstaande wijzing is ledenkaart nog zichtbaar op basis van veld ‘vorig voorkeurparochienr.’ of ‘vorig voorkeurlocatienr.’ Deze velden worden periodiek leeggemaakt, waarna ledenkaart niet meer zichtbaar is.
119;DocBase;DOCUMENTEN;02. Helpdesk tickets;02. Helpdesk tickets;02. Helpdesk tickets;;FAQ;Zie DOSSIERS 02. Helpdesk overzicht tickets Parochie
120;DocBase;RELATIES;01. Ledenadministratie;Hoe selecteer ik de parochianen die in mijn parochie wonen of voorkeur zijn;Hoe selecteer ik de parochianen die in mijn parochie wonen of voorkeur zijn;;FAQ;"In DocBase ziet een administrateur alle leden die - In de geografische parochie wonen (voor centrale Administraties) - In de geografische locatie wonen (voor hybride en decentrale administraties) - Voorkeurparochiaan in de parochie of locatie zijn - In de parochie of locatie hebben gewoond en zijn verhuisd (tot 3 maanden na verhuizing) Om nu alleen de parochianen te zien die in de parochie/locatie wonen dan wel voorkeurparochiaan zijn (en dus niet die inmiddels zijn verhuisd), kunt u de volgende zoekopdracht samenstellen: In de leden administratie, klik op “zoek en vind”. Voor een Centrale administratie: - Parochianen o Relatie status = Parochiaan o Geografisch parochienummer = Kaski nummer parochie o Voorkeur parochienummer <is leeg> - Voorkeur parochianen o Relatie status = Parochiaan o Voorkeur parochienummer = Kaski nummer parochie Voor Hybride en Decentrale administratie: - Parochianen o Relatie status = Parochiaan o Geografisch locatienummer = Kaski nummer parochie o Voorkeur parochienummer <is leeg> - Voorkeur parochianen o Relatie status = Parochiaan o Voorkeur locatienummer = Kaski nummer parochie Een zoekopdracht kunt u opslaan: 1. Klik op “Overige zoekfuncties (1) 2. Klik op “Opslaan zoekopdracht” (2) 3. Geef bij de omschrijving een duidelijk naam op. 4. Indien u per email van wijzigingen op de hoogte gehouden wilt worden kunt u 1 of meer vinkjes zetten in de vakjes waarbij de omschrijving begint met “houd mij op de hoogte”. Indien u dat niet wenst, zorgt u ervoor dat er geen vinkjes staan. Voor deze zoekfunctie is het niet aan te raden per mail op de hoogte gehouden te worden; u krijgt dan vele mails."
121;DocBase;RELATIES;01. Ledenadministratie;Toevoegen lid of Kerktoetreder;Toevoegen lid of Kerktoetreder;;FAQ;Als een persoon gedoopt wordt dient u deze toe te voegen aan de ledenadministratie en daarnaast bij SILA aan te melden. Voor het correct toevoegen van een lid verwijzen wij u naar het document PROCEDURE Kerktoetreder 1.0 .
122;DocBase;RELATIES;01. Ledenadministratie;Verwijderen kerkverlater of administratieve uitschrijving;Verwijderen kerkverlater of administratieve uitschrijving;;FAQ;Als een persoon uit de RK-Kerk wenst te worden uitgeschreven (=kerkverlater), dient de pastoor hiervan op de hoogte te worden gebracht. De pastoor zal de vastgestelde procedure voor kerkverlating volgen (meer informatie vindt u op www.rkkerk.nl ). Wenst iemand niet geregistreerd te zijn in de ledenadministratie (= administratieve uitschrijving) dan hoeft de procedure voor kerkverlating niet te worden gevolgd. In beide gevallen dient het lid te worden verwijderd uit de DocBase ledenadministratie. Voor het correct verwijderen van het lid verwijzen wij u naar document ‘Procedure verwijderen kerkverlater of administratieve uitschrijving’. Deze procedure vindt u in DocBase – 01. Instructies – blauwe link – tabblad ‘Documentatie’. Gebruik de status Kerkverlater alleen indien het een kerkverlater of een administratieve uitschrijving bevat.
123;DocBase;RELATIES;01. Ledenadministratie;Verwijderen lid anders dan een kerkverlater;Verwijderen lid anders dan een kerkverlater;;FAQ;Er kan ook een andere reden zijn om een lid te verwijderen. Bijvoorbeeld omdat het lid dubbel voorkomt. Of dat het een lid betreft waar verder niets aanhangt en waarvan u twijfelt of deze nog wel op dit adres woont. In ieder geval betreft het altijd een lid ZONDER SILA-stip. U kunt nu het lid verwijderen door op het tabblad (Mede-)bewoners het betreffende lid te selecteren. Klik op Overige functies en op Verwijder. Het lid wordt in de Prullenbak geplaatst. De prullenbak is voor u als gebruiker niet zichtbaar.
124;DocBase;RELATIES;01. Ledenadministratie;Iemand wil geen correspondentie ontvangen van de parochie;Iemand wil geen correspondentie ontvangen van de parochie;;FAQ;Als de parochie besluit deze parochianen in het ledenbestand te behouden, gebruik dan het veld “Correspondentievoorkeur” en selecteer “uitsluiten van correspondentie”. Let op! Zorg er bij het maken van selecties voor mailing etc. voor dat leden met correspondentievoorkeur ‘uitsluiten van correspondentie’ ook daadwerkelijk worden uitgesloten. DocBase doet dit NIET automatisch.
125;DocBase;RELATIES;01. Ledenadministratie;Kan ik leden die verhuisd zijn en niet meer van belang zijn verwijderen? NEE;Kan ik leden die verhuisd zijn en niet meer van belang zijn verwijderen? NEE;;FAQ;Nee, dat mag niet. Er is één landelijke database voor alle parochies. Een vertrokken lid is dus ook zichtbaar voor de nieuwe parochie. Als dit lid verwijderd zou worden, is het lid ook niet meer beschikbaar voor de nieuwe parochie. Er is bij de opzet van DocBase voor gekozen om leden die verhuisd zijn nog 3 maanden zichtbaar te houden voor de parochies waar ze vandaan komen. Hier is voor gekozen om ervoor te zorgen dat als iemand verhuist die kerkbijdrage betaalt, een parochieblad ontvangt, vrijwilliger is etc., na een verhuizing niet meteen uit beeld is. De parochie waar de persoon vandaan komt kan dan nog maatregelen nemen om de administratie aan te passen en het lid eventueel als voorkeurparochiaan aan te melden. Na 3 maanden is het verhuisde lid niet meer zichtbaar voor de vorige parochie. Om de leden die zijn verhuisd niet te zien, kan er een zoekopdracht gemaakt worden waarbij aangegeven wordt dat het Geografische parochienummer “gelijk is aan” (selecteer =) het Kaski nummer van de parochie. Deze zoekopdracht kan worden opgeslagen. Bij vragen hieromtrent neem contact op met de helpdesk.
126;DocBase;RELATIES;01. Ledenadministratie;Hoe om te gaan met leden met geheim adres;Hoe om te gaan met leden met geheim adres;;FAQ;"Als een lid bij de gemeente heeft aangegeven een geheim adres te hebben, wordt het lid bij SILA afgemeld en wordt er door SILA een mutatie aan de betreffende parochie doorgegeven met uitschrijving in verband met geheim adres; type melding: 54 Geheim adres (afmelding). U mag de adresgegevens terugzetten op de ledenkaart. Het is verstandig om het lid een bericht te sturen waarin staat dat er geen adresmutaties automatisch meer binnenkomen en dat het lid verzocht wordt om adreswijzigingen of andere mutaties vanaf nu zelf door te geven aan de parochie."
127;DocBase;RELATIES;01. Ledenadministratie;Leden die bij SILA zijn afgemeld;Leden die bij SILA zijn afgemeld;;FAQ;"Let hierbij op het volgende: 1. Overledenen worden ook bij SILA afgemeld; het is de vraag of deze overledenen ook uit DocBase verwijderd moeten worden. Advies is om dat NIET te doen als er nog nabestaanden zijn of als de overledene op uw parochiebegraafplaats is begraven. 2. Leden met een geheim adres worden ook bij SILA afgemeld; deze leden wilt u wellicht wel in DocBase ledenadministratie behouden. Zie paragraaf “Hoe om te gaan met leden met geheim adres” 3. Leden die naar het buitenland zijn verhuisd worden bij SILA afgemeld. In grensgebieden komt het vaak voor dat deze mensen nog wel lid willen zijn van de parochie. Neem voor deze leden de voorkeurparochie informatie op. Advies is om leden te verwijderen als deze de volgende indicatie hebben (let op instructies in hoofdstuk “Hoe om te gaan met leden met geheim adres”: - Sila aan- afmelding = afgemeld - Mutatiesoort Sila = 11"
128;DocBase;RELATIES;01. Ledenadministratie;Koppelen van partners o.a. n.a.v. SILA-mutatie;Koppelen van partners o.a. n.a.v. SILA-mutatie;;FAQ;"Als twee leden met elkaar gehuwd zijn of samenwonen kunnen deze aan elkaar gekoppeld worden. Zo is het duidelijk dat deze partners bij elkaar horen. Om twee ledenkaarten te koppelen; 1. Open de ledenkaart van één van de partners. 2. Zoek in de ledenadministratie het Rel-ID van beide partners op 3. Open de ledenkaart van de ene partner 4. Klik op wijzigen 5. Vul het Rel-ID van de andere partner in bij Echtge(o)t(e) DocBase-ID 6. Klik OK op de ledenkaart. De link is nu ook meteen op de kaart van de ander gelegd. Dat betekent dus ook dat de koppeling dient te worden verwijderd bij een echtscheiding!!"
129;DocBase;RELATIES;01. Ledenadministratie;Overledenen zijn niet meer zichtbaar in de tab medebewoners;Overledenen zijn niet meer zichtbaar in de tab medebewoners;;FAQ;Omdat een overledene niet meer op het laatst bekende adres woont, is de overledene ook niet meer te zien onder de tab medebewoners. Wel is de naam en de link naar de kaart van de overledene op de ledenkaart van de nabestaande echtgenoot/echtgenote te zien.
130;DocBase;RELATIES;01. Ledenadministratie;Hoe moet ik de gegevens onder het tabblad medebewoners interpreteren?;Hoe moet ik de gegevens onder het tabblad medebewoners interpreteren?;;FAQ;Ga uit van een parochiaan en open de ledenkaart. Het tabblad (mede)bewoners bevat alle leden die op hetzelfde adres wonen als betreffende parochiaan, inclusief deze parochiaan zelf. Zelfde adres betekent: dezelfde postcode, straat, huisnummer, letter en huisnummertoevoeging. Dus als een huisnummer letter of toevoeging bekend is, is het aan te raden dat in te vullen. Letter en huisnummer-toevoeging is van belang voor o.a. verzorgingstehuizen.
131;DocBase;RELATIES;01. Ledenadministratie;Hoe vind ik parochianen die sinds een bepaalde datum in de parochie zijn komen wonen?;Hoe vind ik parochianen die sinds een bepaalde datum in de parochie zijn komen wonen?;;FAQ;Gebruik de “zoek & vind” functie waarbij gezocht kan worden op een datum in het veld “Bij geografisch parochie sinds:”. - Hier kan bijvoorbeeld een datum ingevuld worden vanaf wanneer nieuwe parochianen getoond moeten worden: Het voorbeeld levert de lijst van parochianen die vanaf 1 januari 2019 in de parochie wonen. - Een lijst van nieuwkomers in de periode van 1 januari tot en met 31 maart: LET OP!! Bovenstaande procedure gaat momenteel nog niet helemaal goed omdat bij verhuizingen binnen de parochie, de datum “bij geografisch parochie” ook wordt aangepast. Op de volgende manier kan een lijst gemaakt worden van nieuwkomers die via een SILA-mutatie zijn binnengekomen. - Selecteer tabel ‘97. Sila Mutaties rapportage’. - Klik ‘Zoek & Vind’ en klik vervolgens op ‘Uitgebreid zoeken’ - Vul in bij Type Mutatie = 50 Adreswijziging GBA (Nieuwkomer) - Kies bij Verwerkingsdatum de gewenste periode (bijvoorbeeld ‘vorige maand’) - Klik op ‘Vind nu!’
132;DocBase;RELATIES;01. Ledenadministratie;"Invoeren adres gegeven; gebruik de PostNL tabel";"Invoeren adres gegeven; gebruik de PostNL tabel";;FAQ;Als een nieuw lid wordt ingevoerd, gebruik dan de volgende instructie voor het invoeren van het adres: 1. Klik op het PostNL logo 2. Vul postcode en huisnummer in en klik op “Zoek Adres / PostCode” 3. Straatnaam en woonplaats wordt automatisch ingevuld. 4. Klik op OK
